classification	NSLC-1060-T01	NSLC-1070-T01	NSLC-0170-T01	NSLC-0168-T01	NSLC-0107-T01-R1	IGC-08-1089-T01	NSLC-1052-T01	IGC-02-1169-T01	IGC-04-1089-T01	IGC-13-1081-T01	IGC-02-1001-T03	IGC-03-1254-T10	IGC-09-1113-T01	IGC-02-1017-T01	IGC-13-1174-T01	NSLC-1058-T01	NSLC-1064-T01	IGC-02-1097-T01	IGC-13-1146-T01	IGC-11-1128-T07	IGC-03-1026-T02	NSLC-1067-T01	NSLC-0113-T01	IGC-11-1053-T02	NSLC-1074-T01	IGC-02-1194-T01	IGC-10-1061-T01	IGC-08-1024-T01	NSLC-1059-T01	IGC-04-1041-T03	IGC-12-1088-T01	IGC-02-1105-T01	NSLC-0101-T01-R1	NSLC-1076-T01	IGC-12-1086-T01	IGC-12-1069-T01	NSLC-0103-T01-R1	NSLC-1056-T01	IGC-03-1088-T03	IGC-02-1016-T01	IGC-03-1265-T04	IGC-10-1044-T01	NSLC-1068-T01	IGC-10-1045-T01	IGC-09-1008-T01	IGC-09-1086-T02	NSLC-1054-T01	IGC-03-1328-T07	NSLC-1050-T01	NSLC-0093-T02	NSLC-1071-T01	NSLC-0112-T01	IGC-13-1166-T01	IGC-04-1164-T01	NSLC-0097-T01	NSLC-0104-T02	IGC-02-1074-T01	IGC-11-1085-T02	IGC-02-1029-T01	IGC-09-1042-T02	IGC-10-1180-T01	IGC-03-1076-T06	IGC-13-1182-T01	IGC-11-1087-T02	IGC-04-1154-T01	IGC-11-1132-T01	NSLC-0092-T08	IGC-12-1114-T01	NSLC-1069-T01	IGC-11-1108-T02	IGC-02-1025-T01	IGC-03-1321-T01	NSLC-1066-T01	IGC-03-1267-T01	NSLC-1077-T01	NSLC-0102-T01	IGC-10-1055-T01	NSLC-1061-T01	NSLC-1051-T01	IGC-03-1263-T05	NSLC-1055-T01	IGC-02-1212-T01	NSLC-0108-T01	NSLC-0100-T02	IGC-03-1294-T03	IGC-03-1049-T03	IGC-10-1185-T01	NSLC-0105-T01-R1	NSLC-0095-T01	NSLC-1065-T01	NSLC-1072-T01	NSLC-1075-T01
0:homdel:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0:homdel:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0:homdel:>1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1:LOH:100kb-1Mb	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:LOH:100kb-1Mb	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
